##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	16_3D_mbnl_S12_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8235197
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.906703628340647	32.0	32.0	32.0	32.0	32.0
2	31.255686293843365	32.0	32.0	32.0	32.0	32.0
3	34.52072597656134	37.0	32.0	37.0	32.0	37.0
4	35.30207340516566	37.0	37.0	37.0	32.0	37.0
5	35.83745051879148	37.0	37.0	37.0	37.0	37.0
6	39.04410094864762	41.0	41.0	41.0	37.0	41.0
7	39.246185003224575	41.0	41.0	41.0	37.0	41.0
8	39.27278436690707	41.0	41.0	41.0	37.0	41.0
9	39.462389788611006	41.0	41.0	41.0	37.0	41.0
10-11	39.38219735362736	41.0	41.0	41.0	37.0	41.0
12-13	39.42296863086578	41.0	41.0	41.0	37.0	41.0
14-15	39.366796143431664	41.0	41.0	41.0	37.0	41.0
16-17	39.17638837298003	41.0	41.0	41.0	37.0	41.0
18-19	39.273748156844334	41.0	41.0	41.0	37.0	41.0
20-21	39.22909275880103	41.0	41.0	41.0	37.0	41.0
22-23	39.253385802428284	41.0	41.0	41.0	37.0	41.0
24-25	39.30597659048108	41.0	41.0	41.0	37.0	41.0
26-27	39.30463940328325	41.0	41.0	41.0	37.0	41.0
28-29	39.288749498038726	41.0	41.0	41.0	37.0	41.0
30-31	39.24450829773714	41.0	41.0	41.0	37.0	41.0
32-33	38.90092192087208	41.0	41.0	41.0	37.0	41.0
34-35	38.75263141853195	41.0	41.0	41.0	32.0	41.0
36-37	38.65342377359036	41.0	41.0	41.0	32.0	41.0
38-39	38.64061649041304	41.0	41.0	41.0	32.0	41.0
40-41	38.97227971595579	41.0	41.0	41.0	34.5	41.0
42-43	39.12550434434052	41.0	41.0	41.0	37.0	41.0
44-45	39.21890927442294	41.0	41.0	41.0	37.0	41.0
46-47	39.197897451633516	41.0	41.0	41.0	37.0	41.0
48-49	39.158774829551746	41.0	41.0	41.0	37.0	41.0
50-51	39.16411034247268	41.0	41.0	41.0	37.0	41.0
52-53	39.22308768084115	41.0	41.0	41.0	37.0	41.0
54-55	39.031297611945405	41.0	41.0	41.0	37.0	41.0
56-57	39.14311448772871	41.0	41.0	41.0	37.0	41.0
58-59	39.07259316322366	41.0	41.0	41.0	37.0	41.0
60-61	38.99221712607482	41.0	41.0	41.0	37.0	41.0
62-63	39.051850429321846	41.0	41.0	41.0	37.0	41.0
64-65	38.996243077123715	41.0	41.0	41.0	37.0	41.0
66-67	38.97013101204501	41.0	41.0	41.0	37.0	41.0
68-69	38.898426170011476	41.0	41.0	41.0	34.5	41.0
70-71	38.93501029787144	41.0	41.0	41.0	37.0	41.0
72-73	38.857280766932476	41.0	41.0	41.0	32.0	41.0
74-75	38.837652699747196	41.0	41.0	41.0	32.0	41.0
76-77	38.281095704207196	41.0	39.0	41.0	32.0	41.0
78-79	38.4121102385286	41.0	39.0	41.0	32.0	41.0
80-81	38.73428692719798	41.0	41.0	41.0	32.0	41.0
82-83	38.810461243367946	41.0	41.0	41.0	32.0	41.0
84-85	38.70270796193461	41.0	41.0	41.0	32.0	41.0
86-87	38.640743081191616	41.0	41.0	41.0	32.0	41.0
88-89	38.62934547892418	41.0	41.0	41.0	32.0	41.0
90-91	38.55235709601118	41.0	41.0	41.0	32.0	41.0
92-93	38.44978590068945	41.0	41.0	41.0	32.0	41.0
94-95	38.32014965762204	41.0	41.0	41.0	32.0	41.0
96-97	38.26743312880068	41.0	41.0	41.0	32.0	41.0
98-99	38.10293105313692	41.0	37.0	41.0	32.0	41.0
100-101	37.10983532027224	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.3550138404106029
1101	2	-0.429202610580095
1101	3	-1.062004125691253
1101	4	-0.8478931291122507
1101	5	-0.8512113227315723
1101	6	-1.3182242961825352
1101	7	-0.576943584484134
1101	8	-0.21943903626106476
1101	9	-0.08381609116835875
1101	10-11	-0.07480869418719749
1101	12-13	-0.09414974955480204
1101	14-15	-0.04415179228886501
1101	16-17	-0.04575881672307247
1101	18-19	-0.047700406294332254
1101	20-21	-0.02338837538892591
1101	22-23	-0.07942775169252059
1101	24-25	-0.030273949357891183
1101	26-27	-0.008635095001075399
1101	28-29	-0.08793043693248848
1101	30-31	-0.0872897547574496
1101	32-33	0.10872058826225839
1101	34-35	-0.10181143807140103
1101	36-37	-0.06086957277472749
1101	38-39	-0.17758293976798
1101	40-41	-0.2053178682383816
1101	42-43	-0.20296282347138828
1101	44-45	-0.09247228663095797
1101	46-47	-0.015944031185377128
1101	48-49	-5.800908276327732E-4
1101	50-51	-4.0601153849451066E-4
1101	52-53	-0.12029985283150779
1101	54-55	0.11148677948003183
1101	56-57	-0.1227654474963984
1101	58-59	-0.0369215516756114
1101	60-61	0.03027021873159441
1101	62-63	-0.18483009732735667
1101	64-65	-0.06055172474454196
1101	66-67	1.17666651490822E-4
1101	68-69	-0.06616993667972082
1101	70-71	-0.16092078605576887
1101	72-73	-0.0987609483059515
1101	74-75	-0.13026492941431655
1101	76-77	-0.23361123823440977
1101	78-79	-0.06511825703584151
1101	80-81	-0.07517620646685685
1101	82-83	-0.09485670859025674
1101	84-85	0.012577254218328449
1101	86-87	-0.07021764742885495
1101	88-89	-0.22199679808205275
1101	90-91	-0.18332767599734723
1101	92-93	-0.1431179188983549
1101	94-95	-0.0033515194250881564
1101	96-97	-0.13425741403998614
1101	98-99	-0.09186435484626543
1101	100-101	-0.18064964193151667
1102	1	-0.4759830476448812
1102	2	-0.6282528922849515
1102	3	-1.196300667372114
1102	4	-1.0266857247667218
1102	5	-1.0554528557001888
1102	6	-1.2775919234618769
1102	7	-1.096710632677393
1102	8	-0.6922718849293759
1102	9	-0.37785107841002485
1102	10-11	-0.28687254102356263
1102	12-13	-0.2840486309131407
1102	14-15	-0.3005156872893693
1102	16-17	-0.19754354600237178
1102	18-19	-0.1800423789363137
1102	20-21	-0.16717061021798685
1102	22-23	-0.231162353797842
1102	24-25	-0.13622821659173923
1102	26-27	-0.11007028771950189
1102	28-29	-0.16845892322487543
1102	30-31	-0.19055300773379713
1102	32-33	-0.10552080422375099
1102	34-35	-0.11054184644506648
1102	36-37	-0.10604958170792855
1102	38-39	-0.34815975859220316
1102	40-41	-0.26083654168058956
1102	42-43	-0.21761785817756873
1102	44-45	-0.1587089183379291
1102	46-47	-0.10078564075888607
1102	48-49	-0.15534132108691523
1102	50-51	-0.10415815331689515
1102	52-53	-0.31539023664769417
1102	54-55	0.0018992969089453027
1102	56-57	-0.16945813786964692
1102	58-59	-0.13527822140405021
1102	60-61	-0.17235341969183793
1102	62-63	-0.22276779021765947
1102	64-65	-0.11648291468531369
1102	66-67	-0.0970518133423397
1102	68-69	-0.10651479451829715
1102	70-71	-0.19375928566050504
1102	72-73	-0.15654198726512902
1102	74-75	-0.24631990593650954
1102	76-77	-0.5045423802622437
1102	78-79	-0.07273057265356897
1102	80-81	-0.11527549883453503
1102	82-83	-0.22591355371729094
1102	84-85	-0.18360047433780835
1102	86-87	-0.14386970511306174
1102	88-89	-0.3158409243411313
1102	90-91	-0.27339072664150876
1102	92-93	-0.309761698993384
1102	94-95	-0.2377071568388942
1102	96-97	-0.23373048329018786
1102	98-99	-0.17916265181553825
1102	100-101	-0.3069199187594833
1103	1	-0.5405609408683212
1103	2	-0.5282835456242765
1103	3	-1.2045759252090207
1103	4	-1.0911463804050499
1103	5	-0.9566787605170006
1103	6	-1.0775377082273963
1103	7	-1.0739316558355299
1103	8	-0.9827551668497421
1103	9	-0.45968577227123575
1103	10-11	-0.327079313810259
1103	12-13	-0.21051464402316356
1103	14-15	-0.20919418522998967
1103	16-17	-0.22184918495864991
1103	18-19	-0.11261017943339624
1103	20-21	-0.12782338909188695
1103	22-23	-0.19428369870166762
1103	24-25	-0.10680043894740265
1103	26-27	-0.17937028211497363
1103	28-29	-0.1944739433611531
1103	30-31	-0.22034593756396248
1103	32-33	-0.11465246832262466
1103	34-35	-0.31624948678988574
1103	36-37	-0.3139575713635665
1103	38-39	-0.46031266385394076
1103	40-41	-0.38680518148441223
1103	42-43	-0.28217316171997453
1103	44-45	-0.1862174309303839
1103	46-47	-0.18102676129856832
1103	48-49	-0.1287183811800432
1103	50-51	-0.11620560194109686
1103	52-53	-0.17004965860348875
1103	54-55	-0.02854215692860862
1103	56-57	-0.21812803457476093
1103	58-59	-0.21498033499754854
1103	60-61	-0.07075046736349577
1103	62-63	-0.17393147333075376
1103	64-65	-0.1386782771095838
1103	66-67	-0.06010767676569628
1103	68-69	-0.10547624108140496
1103	70-71	-0.19856717043140293
1103	72-73	-0.19855336102655485
1103	74-75	-0.2137704631295847
1103	76-77	-0.2127403184820409
1103	78-79	-0.06525567579404878
1103	80-81	-0.199133827792906
1103	82-83	-0.1460947744293435
1103	84-85	-0.17648787021082057
1103	86-87	-0.21228555654959536
1103	88-89	-0.3480526657138725
1103	90-91	-0.4476975665681735
1103	92-93	-0.34267829560344154
1103	94-95	-0.26857238165483466
1103	96-97	-0.22961144081816087
1103	98-99	-0.25800006673250664
1103	100-101	-0.35210357000683956
1104	1	-0.3591662600047485
1104	2	-0.595262636644815
1104	3	-1.243796263108159
1104	4	-1.0831597789885947
1104	5	-0.9858991127006576
1104	6	-1.3403951191939285
1104	7	-1.16894403739812
1104	8	-1.1540578916872022
1104	9	-0.8129052953669031
1104	10-11	-0.6197977375292396
1104	12-13	-0.2830055164917695
1104	14-15	-0.24962856968764413
1104	16-17	-0.20029015926670724
1104	18-19	-0.2270225277899769
1104	20-21	-0.1679577529175731
1104	22-23	-0.17334366872836426
1104	24-25	-0.06892310199590668
1104	26-27	-0.09763495582053139
1104	28-29	-0.2175551491164569
1104	30-31	-0.16402372773019636
1104	32-33	-0.044222045803842036
1104	34-35	-0.30655673721859955
1104	36-37	-0.38952713258240834
1104	38-39	-0.45415704444781824
1104	40-41	-0.3875104337070354
1104	42-43	-0.2685268791683555
1104	44-45	-0.10275842132134017
1104	46-47	-0.07987750417949968
1104	48-49	0.011307469766009604
1104	50-51	-0.09027968049179691
1104	52-53	-0.17562302829421128
1104	54-55	0.024813634961219577
1104	56-57	-0.17883642975729686
1104	58-59	-0.1813651864654986
1104	60-61	-0.07698777405965274
1104	62-63	-0.1297050624975853
1104	64-65	-0.17985010889262298
1104	66-67	-0.16817782795338587
1104	68-69	-0.14967037440114694
1104	70-71	-0.1972070280638505
1104	72-73	-0.1586704504764569
1104	74-75	-0.14680158187569958
1104	76-77	-0.21200805387228883
1104	78-79	-0.09293451803324615
1104	80-81	-0.18951640157636973
1104	82-83	-0.20740576926937138
1104	84-85	-0.1866961901066304
1104	86-87	-0.19651165934998716
1104	88-89	-0.25474431709885437
1104	90-91	-0.27648070449481565
1104	92-93	-0.21782716132675262
1104	94-95	-0.22990339862560916
1104	96-97	-0.22568198091097003
1104	98-99	-0.11612091879732844
1104	100-101	-0.2682512508844397
1105	1	-0.2965349621608979
1105	2	-0.4616819602084057
1105	3	-0.9476016784086312
1105	4	-0.8642812424123889
1105	5	-0.760460011937532
1105	6	-1.0699623202841266
1105	7	-1.1456682026940896
1105	8	-1.1116242123848679
1105	9	-0.9877066461367932
1105	10-11	-0.9535331806801821
1105	12-13	-0.30211311467489566
1105	14-15	-0.27732885885105674
1105	16-17	-0.1642172218585003
1105	18-19	-0.1374854656851383
1105	20-21	-0.12376137729620496
1105	22-23	-0.14876793655028564
1105	24-25	-0.012241849465240762
1105	26-27	-0.1406029810959808
1105	28-29	-0.13698266794238378
1105	30-31	-0.18983498435648016
1105	32-33	-0.01606186621528849
1105	34-35	-0.03973974125509727
1105	36-37	-0.08180487349250853
1105	38-39	-0.18454641427855023
1105	40-41	-0.23081410725181684
1105	42-43	-0.1600974973471736
1105	44-45	-0.1926853224819851
1105	46-47	-0.1216382305288306
1105	48-49	-0.057750300260416054
1105	50-51	-0.030107964060405834
1105	52-53	-0.09155966773086988
1105	54-55	0.0802185066697092
1105	56-57	-0.06523291363836847
1105	58-59	-0.15159565353168603
1105	60-61	-0.05487973917035305
1105	62-63	-0.18021522980706806
1105	64-65	-0.17800018767756853
1105	66-67	-0.1654462954360696
1105	68-69	-0.07596231803940157
1105	70-71	-0.1754824614059416
1105	72-73	-0.04279980724090393
1105	74-75	-0.08556300164772068
1105	76-77	-0.1330366439717281
1105	78-79	-0.05366314977572273
1105	80-81	-0.06455974395682773
1105	82-83	-0.13352414949113722
1105	84-85	-0.13480912144537882
1105	86-87	-0.024041974917977882
1105	88-89	-0.1813805345487225
1105	90-91	-0.2747218029712002
1105	92-93	-0.23230945788596813
1105	94-95	-0.23413523259372937
1105	96-97	-0.21082848688217837
1105	98-99	-0.10901944391823548
1105	100-101	-0.2057086459961539
1106	1	-0.3169526574726014
1106	2	-0.569397906605456
1106	3	-0.7706507422326041
1106	4	-0.8530077653159154
1106	5	-0.7444556763622643
1106	6	-0.989285471848973
1106	7	-0.9917305822008586
1106	8	-0.9253154596696831
1106	9	-0.9497252729720032
1106	10-11	-0.8754435926034461
1106	12-13	-0.4446104031229581
1106	14-15	-0.3594178951669491
1106	16-17	-0.22942443022490977
1106	18-19	-0.19236412373589928
1106	20-21	-0.13668606594025334
1106	22-23	-0.15690362827953663
1106	24-25	-0.08550138569535193
1106	26-27	-0.17651073489869162
1106	28-29	-0.2566877993908605
1106	30-31	-0.28318777471062617
1106	32-33	-0.15170560718284065
1106	34-35	-0.32853257178091866
1106	36-37	-0.32966192963399266
1106	38-39	-0.4103693303091305
1106	40-41	-0.31675244779656
1106	42-43	-0.31055283634206177
1106	44-45	-0.20796767100582514
1106	46-47	-0.18068562707549063
1106	48-49	-0.09994555598956367
1106	50-51	-0.07264558956963896
1106	52-53	-0.21362787489343305
1106	54-55	0.028079851861178895
1106	56-57	-0.2156552214961991
1106	58-59	-0.0922694687361556
1106	60-61	-0.09244651022813599
1106	62-63	-0.23358461478638048
1106	64-65	-0.13125868435827215
1106	66-67	-0.15120943919338714
1106	68-69	-0.1046290559479175
1106	70-71	-0.18926484191591442
1106	72-73	-0.18121625545681042
1106	74-75	-0.23420634424248732
1106	76-77	-0.3028677026546447
1106	78-79	-0.03366951610711766
1106	80-81	-0.163438539039106
1106	82-83	-0.316936584900958
1106	84-85	-0.14854991997924571
1106	86-87	-0.14030965997957168
1106	88-89	-0.2814525124404881
1106	90-91	-0.2927571672787366
1106	92-93	-0.38586862424004664
1106	94-95	-0.34311933839223485
1106	96-97	-0.27112315188556835
1106	98-99	-0.27749442676203273
1106	100-101	-0.1280319698499639
1107	1	-0.4307964851714061
1107	2	-0.3293162778833221
1107	3	-0.7996002050260813
1107	4	-0.6641982626729188
1107	5	-0.5552752302847068
1107	6	-0.6082253179824093
1107	7	-0.6594610962935405
1107	8	-0.6073314058276722
1107	9	-0.5525686258349864
1107	10-11	-0.5438671341589938
1107	12-13	-0.5806611661058056
1107	14-15	-0.5395807292806225
1107	16-17	-0.1859149172808756
1107	18-19	-0.08102250617557871
1107	20-21	-0.045947939657914105
1107	22-23	-0.051049830439652055
1107	24-25	0.05281107391185458
1107	26-27	-0.01761646206777101
1107	28-29	-0.08574175428639563
1107	30-31	-0.21479019743162553
1107	32-33	-0.02428386513510361
1107	34-35	-0.14545067036332426
1107	36-37	-0.11944003031893402
1107	38-39	-0.19968072665098902
1107	40-41	-0.15057186166713166
1107	42-43	-0.11968835469625816
1107	44-45	-0.09286805955275668
1107	46-47	0.01021074547519163
1107	48-49	0.02107857597104612
1107	50-51	0.032904918356514656
1107	52-53	0.010247520920671604
1107	54-55	0.18033216465732949
1107	56-57	0.0341043796417182
1107	58-59	0.02417605179114446
1107	60-61	0.06724712541969069
1107	62-63	-0.07594265969046887
1107	64-65	-0.024603345312797842
1107	66-67	0.017980886361954163
1107	68-69	0.07935391346222076
1107	70-71	-0.09139580876066589
1107	72-73	-0.023369126132131157
1107	74-75	-0.1211909657002721
1107	76-77	-0.14848293253727007
1107	78-79	0.1288738135432439
1107	80-81	-0.05252950361198572
1107	82-83	-0.14660395464918707
1107	84-85	0.0326429921260285
1107	86-87	-0.0972572647045098
1107	88-89	-0.10577575674739847
1107	90-91	-0.15485607917800337
1107	92-93	-0.10396457846953666
1107	94-95	-0.029969913980735896
1107	96-97	-0.10067212135778192
1107	98-99	0.0627762984456055
1107	100-101	0.11720762468399215
1108	1	-0.6220948764943977
1108	2	-0.3660877841890837
1108	3	-0.9725280558232967
1108	4	-0.7330758650492513
1108	5	-0.38698552097898187
1108	6	-0.6740752656088915
1108	7	-0.6154251966680491
1108	8	-0.5787472389826647
1108	9	-0.4294685558235827
1108	10-11	-0.5506904928138567
1108	12-13	-0.6621242143452051
1108	14-15	-0.7077221527364017
1108	16-17	-0.19738344943122144
1108	18-19	-0.03956070581000404
1108	20-21	0.10743628854965692
1108	22-23	0.0637391561303744
1108	24-25	0.16332585588570936
1108	26-27	0.14051571035710708
1108	28-29	0.025873211894399617
1108	30-31	0.0282881273787865
1108	32-33	0.19536312966696556
1108	34-35	0.012478143871049951
1108	36-37	0.08589700293574509
1108	38-39	-0.10526564769158142
1108	40-41	-0.11148122323902498
1108	42-43	0.040245282125034976
1108	44-45	0.04869395826833767
1108	46-47	0.1088742070210742
1108	48-49	0.15262646770610644
1108	50-51	0.12545547285370873
1108	52-53	0.08826649175935586
1108	54-55	0.24262122645752981
1108	56-57	0.08290760971998168
1108	58-59	0.11303016587122272
1108	60-61	0.17552945655742036
1108	62-63	0.1244295156973223
1108	64-65	0.15092828471134112
1108	66-67	0.19472725562079063
1108	68-69	0.2324113200773823
1108	70-71	0.10875155293314265
1108	72-73	0.11881240071971177
1108	74-75	0.11513547788246825
1108	76-77	0.22898608122644504
1108	78-79	0.2665804431061787
1108	80-81	0.11278541372707451
1108	82-83	0.17490885176994908
1108	84-85	0.14338756806602504
1108	86-87	0.18672190471095007
1108	88-89	0.17184976908341554
1108	90-91	0.12352214289149543
1108	92-93	0.14046165524733567
1108	94-95	0.16008959080204477
1108	96-97	0.19907386196504007
1108	98-99	0.22913492475747432
1108	100-101	0.17496071948473713
1109	1	-0.2901401394954277
1109	2	-0.16578391875872356
1109	3	-0.8078275370875687
1109	4	-0.7050393953673222
1109	5	-0.4748947662076404
1109	6	-0.6582955125367249
1109	7	-0.5080921314352764
1109	8	-0.6830271609595684
1109	9	-0.513611731936571
1109	10-11	-0.6411316087054075
1109	12-13	-0.45095868415609885
1109	14-15	-0.3979124692021898
1109	16-17	-0.14144628976978169
1109	18-19	-0.038776202790778314
1109	20-21	0.02514204156254607
1109	22-23	0.011523271296823623
1109	24-25	0.052153270357685244
1109	26-27	0.0998343329328435
1109	28-29	-0.07068493142080712
1109	30-31	-0.009216994075423202
1109	32-33	0.13279863647732526
1109	34-35	-0.018185233589441907
1109	36-37	-0.0674854663967821
1109	38-39	-0.06623826659104992
1109	40-41	-0.08844020593481616
1109	42-43	-0.03369784511072993
1109	44-45	0.06879099399181854
1109	46-47	0.16709870374081248
1109	48-49	0.185232718229706
1109	50-51	0.046117631507009094
1109	52-53	-0.01177195862308622
1109	54-55	0.2574937715691874
1109	56-57	0.1255300816233813
1109	58-59	0.14680317614939042
1109	60-61	0.06860585605659963
1109	62-63	0.01579752023161518
1109	64-65	0.08686902618060799
1109	66-67	0.14966621496628818
1109	68-69	0.17028762072546044
1109	70-71	0.033099119750460204
1109	72-73	0.03578239258992966
1109	74-75	0.041774554923371454
1109	76-77	0.2634952777722219
1109	78-79	0.3194055666926019
1109	80-81	0.17321068686030827
1109	82-83	0.19464203259505553
1109	84-85	0.12088952207909642
1109	86-87	0.2005323402131154
1109	88-89	0.011072954058441553
1109	90-91	-0.023475426920789744
1109	92-93	0.1196590075483428
1109	94-95	0.14306490704121444
1109	96-97	0.10893433318116053
1109	98-99	0.196216025201565
1109	100-101	0.23256424747346927
1110	1	-0.33252498702423594
1110	2	-0.11652031394729079
1110	3	-0.6159200385240453
1110	4	-0.539423512115782
1110	5	-0.3936933184548508
1110	6	-0.5625966368339022
1110	7	-0.41504723641366326
1110	8	-0.44926363647928014
1110	9	-0.2953501143943029
1110	10-11	-0.20881166781180127
1110	12-13	-0.12691543271947836
1110	14-15	-0.10282590755761589
1110	16-17	-0.057238800918916866
1110	18-19	-0.052188700211473815
1110	20-21	-0.05396395958236866
1110	22-23	-0.008823237404698148
1110	24-25	0.11101267578957419
1110	26-27	0.1397431563539513
1110	28-29	0.07101366747023263
1110	30-31	0.028998502847045415
1110	32-33	0.060987831464672126
1110	34-35	0.006656611408033086
1110	36-37	-0.02489893532466425
1110	38-39	-0.05123978592549605
1110	40-41	-0.0860471273232406
1110	42-43	0.09752248875964398
1110	44-45	0.1292040644545196
1110	46-47	0.1520438940965505
1110	48-49	0.17591332519774738
1110	50-51	0.1487210382251547
1110	52-53	0.05295733918296719
1110	54-55	0.22060584117687654
1110	56-57	0.0944481467637317
1110	58-59	0.17384719181975328
1110	60-61	0.21004033653631637
1110	62-63	0.12590030917996842
1110	64-65	0.14518491286693092
1110	66-67	0.2433127034805267
1110	68-69	0.3276401803976725
1110	70-71	0.24498289512811056
1110	72-73	0.07557946963708417
1110	74-75	0.10126080299010454
1110	76-77	0.15184025996701678
1110	78-79	0.19645809362864952
1110	80-81	0.041524576834838456
1110	82-83	0.09451728153689487
1110	84-85	0.17312954152575344
1110	86-87	0.20111619222740273
1110	88-89	0.16850164815027568
1110	90-91	0.11172268742924274
1110	92-93	0.24351692030530359
1110	94-95	0.23255205516763056
1110	96-97	0.038689078183836045
1110	98-99	0.22653974620823902
1110	100-101	0.27939966050996645
1111	1	-0.16117753199417706
1111	2	-0.1230808993247976
1111	3	-0.4169644064243485
1111	4	-0.3873017950094706
1111	5	-0.19614440395144328
1111	6	-0.28716387487098416
1111	7	-0.17402625884206202
