##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	trim_16_2P.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8014158
Sequences flagged as poor quality	0
Sequence length	35-101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.370795409823465	32.0	32.0	32.0	32.0	32.0
2	31.438322778263167	32.0	32.0	32.0	32.0	32.0
3	34.823790721370855	37.0	32.0	37.0	32.0	37.0
4	35.600363881021565	37.0	37.0	37.0	32.0	37.0
5	36.15338654416347	37.0	37.0	37.0	37.0	37.0
6	39.39820727267917	41.0	41.0	41.0	37.0	41.0
7	39.610788556951334	41.0	41.0	41.0	37.0	41.0
8	39.64528039002975	41.0	41.0	41.0	37.0	41.0
9	39.82407309663723	41.0	41.0	41.0	37.0	41.0
10-11	39.757386677427625	41.0	41.0	41.0	37.0	41.0
12-13	39.80102912869948	41.0	41.0	41.0	37.0	41.0
14-15	39.75290847772155	41.0	41.0	41.0	37.0	41.0
16-17	39.573150604218185	41.0	41.0	41.0	37.0	41.0
18-19	39.66365487179065	41.0	41.0	41.0	37.0	41.0
20-21	39.61369797051668	41.0	41.0	41.0	37.0	41.0
22-23	39.640405142998176	41.0	41.0	41.0	37.0	41.0
24-25	39.6892747809564	41.0	41.0	41.0	37.0	41.0
26-27	39.68788212061704	41.0	41.0	41.0	37.0	41.0
28-29	39.67931128884656	41.0	41.0	41.0	37.0	41.0
30-31	39.64061290031966	41.0	41.0	41.0	37.0	41.0
32-33	39.30399288359426	41.0	41.0	41.0	37.0	41.0
34-35	39.15958245395212	41.0	41.0	41.0	37.0	41.0
36-37	39.08174735429378	41.0	41.0	41.0	37.0	41.0
38-39	39.08339712747537	41.0	41.0	41.0	37.0	41.0
40-41	39.41582928794689	41.0	41.0	41.0	37.0	41.0
42-43	39.56167914790224	41.0	41.0	41.0	37.0	41.0
44-45	39.6528694053444	41.0	41.0	41.0	37.0	41.0
46-47	39.63354725610549	41.0	41.0	41.0	37.0	41.0
48-49	39.6005812424778	41.0	41.0	41.0	37.0	41.0
50-51	39.61591215624515	41.0	41.0	41.0	37.0	41.0
52-53	39.68260052722981	41.0	41.0	41.0	37.0	41.0
54-55	39.50008550933991	41.0	41.0	41.0	37.0	41.0
56-57	39.62404473298851	41.0	41.0	41.0	37.0	41.0
58-59	39.564316900257985	41.0	41.0	41.0	37.0	41.0
60-61	39.49371033507469	41.0	41.0	41.0	37.0	41.0
62-63	39.5691813930564	41.0	41.0	41.0	37.0	41.0
64-65	39.52157948301401	41.0	41.0	41.0	37.0	41.0
66-67	39.50065151227433	41.0	41.0	41.0	37.0	41.0
68-69	39.43818997120802	41.0	41.0	41.0	37.0	41.0
70-71	39.486362587110136	41.0	41.0	41.0	37.0	41.0
72-73	39.416296209610266	41.0	41.0	41.0	37.0	41.0
74-75	39.40612338714671	41.0	41.0	41.0	37.0	41.0
76-77	38.85676699737816	41.0	39.0	41.0	34.5	41.0
78-79	39.00116730188405	41.0	41.0	41.0	34.5	41.0
80-81	39.36012393544364	41.0	41.0	41.0	37.0	41.0
82-83	39.4486132014455	41.0	41.0	41.0	37.0	41.0
84-85	39.346881682930096	41.0	41.0	41.0	37.0	41.0
86-87	39.29491215807099	41.0	41.0	41.0	37.0	41.0
88-89	39.29806517626167	41.0	41.0	41.0	37.0	41.0
90-91	39.23177435020192	41.0	41.0	41.0	37.0	41.0
92-93	39.13739637398251	41.0	41.0	41.0	37.0	41.0
94-95	39.01273053126785	41.0	41.0	41.0	37.0	41.0
96-97	38.97384657808265	41.0	41.0	41.0	37.0	41.0
98-99	38.835839019848045	41.0	41.0	41.0	34.5	41.0
100-101	38.485782633073185	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.31016618703359455
1101	2	-0.49326910010394087
1101	3	-0.9563626196799078
1101	4	-0.820001319693425
1101	5	-0.6748712964694761
1101	6	-1.0860186583843117
1101	7	-0.4525161263670512
1101	8	-0.19080801683874427
1101	9	-0.029213641003828172
1101	10-11	-0.006766372632220907
1101	12-13	-0.04481098294032648
1101	14-15	-0.0017823418247715495
1101	16-17	0.0800057342993199
1101	18-19	0.006430304008397059
1101	20-21	0.1006233440922415
1101	22-23	-0.04367489630381982
1101	24-25	0.08860298551446988
1101	26-27	-0.012219829350691214
1101	28-29	-0.055209899237738114
1101	30-31	0.007499750133469263
1101	32-33	0.23097612290744252
1101	34-35	0.09282453271903535
1101	36-37	0.09239545680717498
1101	38-39	-0.06130507394560425
1101	40-41	-0.1294224051301569
1101	42-43	0.026363007519499604
1101	44-45	0.024856088110723817
1101	46-47	0.05867434984701703
1101	48-49	0.07998564945525288
1101	50-51	0.02978687869808283
1101	52-53	-0.011671156699335938
1101	54-55	0.11333874874043204
1101	56-57	-0.027066914077941817
1101	58-59	0.058455092038393275
1101	60-61	0.08486742954080029
1101	62-63	-0.08495228657690035
1101	64-65	-0.0710450213638083
1101	66-67	0.06044301417338005
1101	68-69	0.04487795484643442
1101	70-71	-0.04848395695298535
1101	72-73	-0.029123107066823195
1101	74-75	0.014399985887166622
1101	76-77	-0.10291741702435075
1101	78-79	0.15801231569736984
1101	80-81	0.08406445183437228
1101	82-83	-0.06327998460984219
1101	84-85	0.014747806436105293
1101	86-87	-0.03282346321223173
1101	88-89	-0.08287945588006806
1101	90-91	-0.07914855441040203
1101	92-93	-0.04893631752908334
1101	94-95	0.08787609439176691
1101	96-97	-0.040785844275426086
1101	98-99	0.10121158598327185
1101	100-101	0.07770238680682695
1102	1	-0.36556800438586023
1102	2	-0.520391754016952
1102	3	-1.10746815546581
1102	4	-0.9452443057682771
1102	5	-0.9638573764806893
1102	6	-1.1418043912541265
1102	7	-1.062926795904204
1102	8	-0.6069209580563069
1102	9	-0.33005930696577224
1102	10-11	-0.1850666717668048
1102	12-13	-0.1207481128796033
1102	14-15	-0.1299507065907548
1102	16-17	-0.06116160900728573
1102	18-19	-0.09237017086007171
1102	20-21	-0.12114727546543946
1102	22-23	-0.1893627083902274
1102	24-25	-0.01734292218823441
1102	26-27	-0.0019747128374447698
1102	28-29	-0.07293185231887378
1102	30-31	-0.041861773256002266
1102	32-33	0.08831287843731417
1102	34-35	-0.052098772490921874
1102	36-37	-0.04756207952178926
1102	38-39	-0.14943364487224642
1102	40-41	-0.2045190383014983
1102	42-43	-0.07236367954094192
1102	44-45	-0.034164795766173484
1102	46-47	-0.02370797327530738
1102	48-49	-0.051394087351823714
1102	50-51	0.0191791788794049
1102	52-53	-0.1587073585858363
1102	54-55	0.1139342570402988
1102	56-57	-0.06478946974822009
1102	58-59	-0.0985094310322907
1102	60-61	-0.058874193050876045
1102	62-63	-0.12314572067495533
1102	64-65	-0.022564767452728063
1102	66-67	-0.01081639857176242
1102	68-69	0.01712835101277932
1102	70-71	-0.10503765292249767
1102	72-73	-0.022744114499829493
1102	74-75	-0.12516832426289426
1102	76-77	-0.4157731232213422
1102	78-79	-0.011616013022440086
1102	80-81	-0.0317963662897327
1102	82-83	-0.11265255955681397
1102	84-85	-0.04732584399209827
1102	86-87	-0.07810347218432412
1102	88-89	-0.15718891975462412
1102	90-91	-0.16820144920331614
1102	92-93	-0.18973701464718573
1102	94-95	-0.1646538486086726
1102	96-97	-0.16018040134189704
1102	98-99	-0.03448955224632044
1102	100-101	-0.14279475681109233
1103	1	-0.5284190120089747
1103	2	-0.4069763418266312
1103	3	-1.0797416757647795
1103	4	-0.9406800979092722
1103	5	-0.7645176703608385
1103	6	-0.9055180426686817
1103	7	-0.8572273459354562
1103	8	-0.7695697977588267
1103	9	-0.2685251681627392
1103	10-11	-0.2117224329709657
1103	12-13	-0.10029459444960764
1103	14-15	-0.11568451561083037
1103	16-17	-0.06378708189625115
1103	18-19	-0.03801762213186777
1103	20-21	-0.11762302572008565
1103	22-23	-0.14513841641511505
1103	24-25	-0.06296126286198955
1103	26-27	-0.07776796080870696
1103	28-29	-0.13470273727394044
1103	30-31	-0.19283757173818827
1103	32-33	-0.03042295249935023
1103	34-35	-0.24529496739789636
1103	36-37	-0.24311428424778825
1103	38-39	-0.4502641685564299
1103	40-41	-0.2499369012754613
1103	42-43	-0.1384960829557329
1103	44-45	-0.09876238633012235
1103	46-47	-0.0029486540265750705
1103	48-49	-0.020757454241334017
1103	50-51	0.008304853247402377
1103	52-53	-0.07501316320665552
1103	54-55	0.0697990767097636
1103	56-57	-0.08050976711516
1103	58-59	-0.07829828506391578
1103	60-61	0.08498344322209306
1103	62-63	-0.009829854239285396
1103	64-65	-0.02614101537024993
1103	66-67	0.01938437544076521
1103	68-69	0.08925629482364883
1103	70-71	-0.03535995125373148
1103	72-73	-0.0367773522320789
1103	74-75	-0.06508432128995167
1103	76-77	-0.043001738090360675
1103	78-79	0.06924093906636841
1103	80-81	-0.011973331879168825
1103	82-83	0.002305853434613425
1103	84-85	0.018807960023991654
1103	86-87	0.013157352302314962
1103	88-89	-0.12983480260430014
1103	90-91	-0.1739192019526783
1103	92-93	-0.051618859859338784
1103	94-95	-0.05950431816656021
1103	96-97	-0.10627942399862178
1103	98-99	0.014453215120163065
1103	100-101	0.10037968524324725
1104	1	-0.32525374882019875
1104	2	-0.4369071724556939
1104	3	-1.2156690688952523
1104	4	-0.8545198397483631
1104	5	-0.7626511665182178
1104	6	-1.0816060243600347
1104	7	-0.9893759321957418
1104	8	-1.0074135697686728
1104	9	-0.6875225164962586
1104	10-11	-0.3927118922668882
1104	12-13	-0.1396697250196226
1104	14-15	-0.19379493693379146
1104	16-17	-0.05119496419982994
1104	18-19	-0.09108173724967372
1104	20-21	-0.09757662795593802
1104	22-23	-0.06509833523674757
1104	24-25	0.035061821029870543
1104	26-27	-0.060093836777184606
1104	28-29	-0.11609592248910872
1104	30-31	-0.06357085882601865
1104	32-33	0.046727960146874636
1104	34-35	-0.19701053673827573
1104	36-37	-0.16619250566616728
1104	38-39	-0.3011401717517401
1104	40-41	-0.1923455961374927
1104	42-43	-0.11783614193287661
1104	44-45	0.05651224674595312
1104	46-47	0.09492037893170391
1104	48-49	0.15632791030996884
1104	50-51	0.09999798799828596
1104	52-53	0.013260297059844106
1104	54-55	0.22680663197906625
1104	56-57	-0.031014239792398257
1104	58-59	0.062069974600049704
1104	60-61	0.06283902762052662
1104	62-63	-0.03214762010163241
1104	64-65	0.04427185384827936
1104	66-67	0.08544144728325875
1104	68-69	0.03340156767509228
1104	70-71	0.0039725495141240685
1104	72-73	0.06424984947592804
1104	74-75	0.03542828596344805
1104	76-77	-0.042910353055539474
1104	78-79	0.11180386393311181
1104	80-81	0.04920613922487149
1104	82-83	-0.02391536186262755
1104	84-85	0.05119990896868387
1104	86-87	0.09054462775166172
1104	88-89	-0.08678493798034737
1104	90-91	-0.08616871337767407
1104	92-93	-4.00735996556989E-4
1104	94-95	-0.11228117930981085
1104	96-97	-0.06819337756888189
1104	98-99	0.01736160482587934
1104	100-101	0.04117779597866189
1105	1	-0.28414811595738243
1105	2	-0.465078736573048
1105	3	-0.9587332649076927
1105	4	-0.7344702256490407
