##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	trim_32_1P.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	11468966
Sequences flagged as poor quality	0
Sequence length	35-101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.53209068716395	32.0	32.0	32.0	32.0	32.0
2	31.536598155404768	32.0	32.0	32.0	32.0	32.0
3	35.351738944905755	37.0	37.0	37.0	32.0	37.0
4	36.14608300347215	37.0	37.0	37.0	32.0	37.0
5	36.34660073105108	37.0	37.0	37.0	37.0	37.0
6	39.76198534375287	41.0	41.0	41.0	37.0	41.0
7	39.86844803620483	41.0	41.0	41.0	37.0	41.0
8	39.93635372186124	41.0	41.0	41.0	37.0	41.0
9	40.16936801451848	41.0	41.0	41.0	37.0	41.0
10-11	40.257672400458766	41.0	41.0	41.0	41.0	41.0
12-13	40.25194830118077	41.0	41.0	41.0	41.0	41.0
14-15	40.23017013913896	41.0	41.0	41.0	41.0	41.0
16-17	40.18789230868764	41.0	41.0	41.0	41.0	41.0
18-19	40.19038115554619	41.0	41.0	41.0	41.0	41.0
20-21	40.18357627008398	41.0	41.0	41.0	41.0	41.0
22-23	40.19305733402645	41.0	41.0	41.0	39.0	41.0
24-25	40.17528210476864	41.0	41.0	41.0	39.0	41.0
26-27	40.12921823118143	41.0	41.0	41.0	39.0	41.0
28-29	40.109992478833746	41.0	41.0	41.0	37.0	41.0
30-31	40.072687110590444	41.0	41.0	41.0	37.0	41.0
32-33	40.08466085783147	41.0	41.0	41.0	37.0	41.0
34-35	40.1273841948786	41.0	41.0	41.0	37.0	41.0
36-37	40.123357008656185	41.0	41.0	41.0	37.0	41.0
38-39	40.11157674030418	41.0	41.0	41.0	37.0	41.0
40-41	40.112356000531165	41.0	41.0	41.0	37.0	41.0
42-43	40.096577527226756	41.0	41.0	41.0	37.0	41.0
44-45	40.05023073834411	41.0	41.0	41.0	37.0	41.0
46-47	40.053995170653366	41.0	41.0	41.0	37.0	41.0
48-49	40.060933815802514	41.0	41.0	41.0	37.0	41.0
50-51	40.05609379888478	41.0	41.0	41.0	37.0	41.0
52-53	40.014837755281846	41.0	41.0	41.0	37.0	41.0
54-55	40.01982685490481	41.0	41.0	41.0	37.0	41.0
56-57	40.000135711289005	41.0	41.0	41.0	37.0	41.0
58-59	39.99524826529765	41.0	41.0	41.0	37.0	41.0
60-61	39.98229276527367	41.0	41.0	41.0	37.0	41.0
62-63	39.94865017610107	41.0	41.0	41.0	37.0	41.0
64-65	39.94450954213667	41.0	41.0	41.0	37.0	41.0
66-67	39.93269841916994	41.0	41.0	41.0	37.0	41.0
68-69	39.91624670161157	41.0	41.0	41.0	37.0	41.0
70-71	39.83922354899029	41.0	41.0	41.0	37.0	41.0
72-73	39.856412698627146	41.0	41.0	41.0	37.0	41.0
74-75	39.83513796205661	41.0	41.0	41.0	37.0	41.0
76-77	39.497924110813045	41.0	41.0	41.0	37.0	41.0
78-79	39.59881959980396	41.0	41.0	41.0	37.0	41.0
80-81	39.73547147287316	41.0	41.0	41.0	37.0	41.0
82-83	39.785608408020835	41.0	41.0	41.0	37.0	41.0
84-85	39.765176726901856	41.0	41.0	41.0	37.0	41.0
86-87	39.74467736170571	41.0	41.0	41.0	37.0	41.0
88-89	39.6126705773013	41.0	41.0	41.0	37.0	41.0
90-91	39.64584860460941	41.0	41.0	41.0	37.0	41.0
92-93	39.599698025070154	41.0	41.0	41.0	37.0	41.0
94-95	39.53350402836878	41.0	41.0	41.0	37.0	41.0
96-97	39.54018743604972	41.0	41.0	41.0	37.0	41.0
98-99	39.36401436610966	41.0	41.0	41.0	37.0	41.0
100-101	39.30697229283062	41.0	41.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.15965829150752953
1101	2	-0.050244411049128246
1101	3	-0.3185549882496872
1101	4	-0.11317850640979543
1101	5	0.13314149657632157
1101	6	-0.10809864360222576
1101	7	-0.018473610442008237
1101	8	-0.04986100997440701
1101	9	0.004521352347097718
1101	10-11	0.011020485878439956
1101	12-13	0.045358488198679936
1101	14-15	0.042985580116855715
1101	16-17	0.017402444561192
1101	18-19	0.010653716859430062
1101	20-21	0.03598431426861026
1101	22-23	0.02034979687559968
1101	24-25	-0.01125479626257686
1101	26-27	0.0032272116823577335
1101	28-29	0.03241075660449155
1101	30-31	-0.0014712260766955865
1101	32-33	0.0312549289489823
1101	34-35	-0.008681953020520439
1101	36-37	-9.292324297760501E-4
1101	38-39	-0.020593625735273235
1101	40-41	-0.037045132064776
1101	42-43	-0.0698723814140294
1101	44-45	0.03900073066036924
1101	46-47	0.013227496337961497
1101	48-49	-0.017071396996648502
1101	50-51	-0.025215849845224625
1101	52-53	0.04572785970359661
1101	54-55	0.002902523968124626
1101	56-57	0.0056065029400826916
1101	58-59	0.023594828263881595
1101	60-61	0.0016975914088774857
1101	62-63	0.06104412822452332
1101	64-65	0.04666178516922059
1101	66-67	-0.01764386663455042
1101	68-69	0.011577379553727951
1101	70-71	0.03579048684314756
1101	72-73	0.05802480031248791
1101	74-75	0.00832730468563625
1101	76-77	0.03059204485781919
1101	78-79	0.10934152744808756
1101	80-81	0.09947544423807386
1101	82-83	0.07414867992795848
1101	84-85	0.09468088463754043
1101	86-87	0.05624158654490685
1101	88-89	0.19894267537073773
1101	90-91	0.17221238025306462
1101	92-93	0.19979044227042664
1101	94-95	0.22130484278216755
1101	96-97	0.1920800567775771
1101	98-99	0.3369139686587701
1101	100-101	0.14491511717672267
1102	1	-0.06583688076323213
1102	2	-0.032441812671169856
1102	3	-0.13124016961867113
1102	4	0.06788632176174048
1102	5	0.1972067323185911
1102	6	2.2972866403847547E-4
1102	7	0.02885859482099562
1102	8	0.06663007307996338
1102	9	0.0443312824189519
1102	10-11	0.07830980462470905
1102	12-13	0.07153767659863774
1102	14-15	0.048940310761445005
1102	16-17	0.1005051836808093
1102	18-19	0.1290182896504959
1102	20-21	0.08451801365237088
1102	22-23	0.13265871946921948
1102	24-25	0.14023085251524492
1102	26-27	0.12483945162703947
1102	28-29	0.09744576647320002
1102	30-31	0.10345165985997795
1102	32-33	0.10147948210948243
1102	34-35	0.07516452637730708
1102	36-37	0.07381702548357083
1102	38-39	0.08057493742904143
1102	40-41	0.08255774008139127
1102	42-43	0.06754998920309419
1102	44-45	0.16981994658846133
1102	46-47	0.12083868641346385
1102	48-49	0.117305476312076
1102	50-51	0.11104226948138773
1102	52-53	0.14912621292169348
1102	54-55	0.07870832573124176
1102	56-57	0.06867424988286075
1102	58-59	0.09822438370146358
1102	60-61	0.04315830545817789
1102	62-63	0.06937751992487051
1102	64-65	0.09143850177120072
1102	66-67	0.06456772642770403
1102	68-69	0.03521500941351974
1102	70-71	0.05071043938491471
1102	72-73	0.0696415763869851
1102	74-75	0.11862844346608625
1102	76-77	0.17629888577765485
1102	78-79	0.1675123402450609
1102	80-81	0.17371026317899663
1102	82-83	0.15978839387045696
1102	84-85	0.17406368456158816
1102	86-87	0.1741295075302034
1102	88-89	0.3113965080434582
1102	90-91	0.2958714842719843
1102	92-93	0.31197932137807527
1102	94-95	0.35697636669482335
1102	96-97	0.27806318353921
1102	98-99	0.4246246692765183
1102	100-101	0.27992625318611175
1103	1	-0.060958078516009095
1103	2	-0.0031790570926233386
1103	3	-0.11373223105810126
1103	4	0.07308075064037922
1103	5	0.18948350670063263
1103	6	0.12400005401330816
1103	7	0.11507169787620342
1103	8	-0.013875169004229804
1103	9	-0.019553798834550662
1103	10-11	0.06726814095146949
1103	12-13	0.061724274679974656
1103	14-15	0.08957946666375705
1103	16-17	0.07806695597942337
1103	18-19	0.09124285871717319
